Timestamp,Age,Gender,Education Qualification(mention the specialization),Year of completion,Are you happy with the program what you studied/studying? ,What made you choose this course(program)?,"Is your chosen course/program your first preference? If not, what was it?",What are the factors or circumstances that influenced you to change your preference? ,What are your short-term future career plans? ,"In the current competitive scenario, how stressful do you feel on a scale of 10",How do you manage your stress?,Is the present examination pattern assessing the student’s knowledge appropriate? Share your thoughts.,Provide your views on university entrance examinations,"Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Flipped class room – Reverse of traditional lectures. The lecture materials are read at home and self-learnt and problems are solved and doubts are cleared in classrooms.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Active learning: It’s a group-based learning. Active learning methods ask students to engage in           their learning by thinking, discussing, investigating, and creating.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Learning through doing projects and engages them with real life problems.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Hands-on-learning means learning by doing.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Gamified learning- Gamification in learning involves using game-based elements such as point scoring, peer competition, team work, score tables to drive engagement, help students assimilate new information and test their knowledge.]",How comfortably you learn on a scale of 1 to 10 when an instructor or friend explains the concept,"How comfortably you learn on a scale of 1 to 10 when   you self-learn using resources like online materials or videos, books, and resources.",What is your definition of success?,What do you want to achieve with your education?,"What are your suggestions to improve India’s education system to make it more knowledgeable and enjoyable?
 ",What is the reason behind your first preference?
10-01-2022 09:43,18,Female,Class 12,6/18/2022,Yes,My interest in Mathematics and Physics. ,"If not for BTech, I wanted to do Pure Mathematics in ISI or IISER.","I felt that, I can do courses later, or come up with my theories in Mathematics. But once I take up Mathematics, I cannot change to BTech.","After my PG, I want a satisfactory job, with decent salary, in my domain. ",8,"Music, dance, sports. ","The descriptive method of examinations, is truly not the right way to assess a student's knowledge. Many students screw up their exams inspite of being intellectual. On the other hand, there are low scorers who understand the real life problems better than the toppers. But, everyone needs to have an examination as a basic test to each one's smartness. ","It may look like a discrimination, but it's an absolute necessity. As mentioned above, to test the basic skills of a student, University has to keep entrance examinations. Reservations is the only bad thing in India. They have to be removed. Reservations based on economic background, is understandable, not the rest. ",4,4,1,5,3,8,7,Being happy with whatever I'm doing. ,"I am looking forward to a decent job, and maybe come up with my startup. I have dreams of helping India and it's society in the near future, in many ways. ","Lakhs of parents in India, want their kids to be engineers or doctors. Hence, the competition here, is not healthy at all. Every institution is just hungry of ranks and do not ever look at the mental strength of each student. In many countries, extra curricular like music, literature, art, dance etc are given a lot of importance. There are considered as different subjects, whereas in India it's just an extra curricular activity. Many Indian parents, don't even let their children to pursue these, because they don't want them to defocus from their major subject. This has to change. Instead of always studying, students have to get engaged in real life problems, and must know how to deal with them. By hearting won't lead them anywhere. ",
10-01-2022 09:51,24,Male,Msc Data Science,6/16/2023,Yes i am happy that i am studying data science,It's  a high paying job,Yes ,More employment opportunities,Leading my team where i m working,8,"Playing sports, listening music, spending time with friends",Sometimes yes sometimes no. When there is back to back exams it's very Stressful but student somehow manages it. ,Entrance exam is very important according to me. If u didn't score well in boards u can study to crack entrance. ,3,1,1,1,1,7,8,If i am and people around me r happy,To help others ,"Make it practical knowledge
Real life implementation is necessary
",
10-04-2022 13:12,18,Male,12th,07-01-2022,Yes,Passion and partly ambition,Same course in a better institute,Brutal competition,MBA in IIM,2,Distract from it by engaging in other things,No. The impetus on memory and outdated application based testing retards the readiness of the student to the industry expectations. ,They're pretty well made appropriately for the institute ,3,2,2,2,3,8,6,"Stability in career and mental state,self sufficiency
","Success as explained before
",Focus on collaboration than competition ,
10-04-2022 13:13,17,Female,12th Std,10/21/2004,Yes,The interest to exploremore in this field,Yes,"The competitive atmosphere around me, and the need to be on top to succeed","Get into a corporate for about a year or two, and then pursue higher studies",8,"Try to talk to the people I'm close to, more often and take small breaks","It most definitely is not appropriate, I assume it is better to have an examination pattern that is more individualistic, rather than generalizing it.
Not all students are the same and each one's strengths lie in different areas
While there is a requirement of the examination pattern to be fair, I also think we need to come up with a better way of assessing students' knowledge","It may not be a right way of choosing people based solely on their performance in a single examination
Entrance into a university should be holistic and not  based off of just an examination
As much as it is important to be smart, it is equally important to have other traits that'll help them succeed in life.
Smartness isn't the only measure of success
",1,2,3,3,4,8,9,"Success in my words is something that has you satisfied with where you are in life.
If you feel you're able to satisfy your needs, with something to spare and you're happy. that is mote than enough for you to achieve ""success""",Try and contribute to all the developments and advancements that are happening in this rapidly changing world,"1.The concept of coaching institutes should not be a thing.
2. Instead of having 2 different things over the same topics, viz. Board exams, and Competitive exams, it is better to come up with something that has your aptitude working, while also enhancing your concept understanding
3. More time should be given for self study, and not just teaching in a classroom.
4. The exam pattern of board examinations should change, instead of expecting descriptive answers in exact words, creative freedom should be given to students, given that it is a subjective examination",
10-04-2022 13:28,22,Female,12,5/15/2018,Kind of,I din't get MBBS seat,"No, it wasn't. MBBS was my first preference ",Less medical seats,Surgeon ,10,I indulge in my hobbies ,No not at all. It's all other than what is required ,They should stop assigning marks based on length of an answer and honestly look for the standpoints it contains. ,4,3,1,1,1,10,9,Having the highest knowledge in order to fullfill the purpose of your career & serve humanity ,I want to be a best physician. Overall a Best Surgeon ,Practical learning should be prioritised than theory learning. Provide stipends to interns who work day & night. Seats shouldn't be distributed based on Money but with results only. ,
10-04-2022 13:35,22,Female,Mbbs,2/22/2024,Yes,I was passionate,Yes,No factors,Thinking of business,8,"Playing, and participating in intercollegiate events",Yes,Needs improvement,3,3,3,3,1,4,9,Consistent smart work and resistant to leisure activities,Good medical support for the needy,"Practical based education system
Group projects
",
10-04-2022 14:46,18,Male,12th passout(pcmc),6/18/2022,Yes,"Interest for the subjects, and the field has the most opportunities for college and further studies and jobs.",Yes,None,"Finish college and look for a job, before planning anything else",4,"Don't think of the exam as a do or die situation, rather consider it as an opportunity, and if you don't succeed you'll have many other ones.","It might not be the most ideal one, but it's the perfect one for the correct scenario. As long as education develops at the grassroot levels, no other changes can be made","They've their pros and cons, while most times you get intelligent and hard working students. Sometimes there are students who don't have a deep understanding of certain topics but by by hearting formulae, they can ace such exams.",2,3,3,3,3,7,8,"Reaching a position where you are content with what you have.
Also realising ones potential and trying your best to achieve it.","Keeps the mind running, and getting real world skills. Also meeting like minded people and having a good network.","Teachers should be less rigid, i.e. shouldn't think that their method is the best. Rather they should experiment various methods so that the students learn in the best way possible
",
10-04-2022 14:47,21,Female,Physiotherapy ,10-04-2022,Yes,With self interest ,My interest was in medical field ,Some problem in college ,Wanna be dancer,4,Listening to song or dancing ,Yes,Good,3,1,1,2,2,5,6,Success is when we feel happy with job what we have ,Good physiotherapist ,Let children work in there interested field ,
10-04-2022 17:56,19,Female,Bsc. Psychology ,5/23/2023,yes,i was interested to understand myself and the ways of human nature ,"this was my first preference, yes. ",NA,"i can barely get through this degree much less think about career plans. if things go well, i want to work as a child psychologist ",10,i don’t. i deal with it terribly. i procrastinate. running away from my problems is how i deal with them. ,it really isn’t. we are just expected to learn a bunch of facts and vomit it out in the exam. i want to apply my knowledge somewhere. i want to answer application based questions. ,"as long as the questions are application based, they are justified ",4,5,5,5,5,8,10,being contented with what you are doing while having no qualms about what the others will say,self-confidence. ,"the entire system needs to change. the methods of teaching, testing and judging are outdated. hands on learning needs to be promoted. ",
10-04-2022 18:02,20,Female,(UG) B.Sc Psychology ,4/30/2023,50/50,Interest in subject,Yes,N/A,M.Sc clinical psychology ,8,Focusing on what's important ,"No it is not. It assesses your ability to memorise content only. Which is why students struggle when put in a practical application situation, wherein they need to concert the theory to practice on spot, with no prior training for the same.","Entrance tests for master's courses seem beneficial. They are fine, but the test should be relevant to the choice of course. Expecting a student applying for psychology to write an entrance exam testing mathematical reasoning is irrelevant to the student. 
But entrance tests for under graduation seem pointless due to the insurmountable pressure put on students for scoring in higher secondary schooling. NEET/ JEE exams are only pressurising, and have a very thin chance of passing for most applicants. Either don't make 12th scores that important, so that kids can primarily focus on University entrances, or give admission based on 12th scores. 

But the imminent problem is not any of the above, but to make the quality of education equal everywhere. Every child should have the same access. ",4,5,5,5,4,7,9,Achieving your potential. ,Strong foundation of knowledge ,"1. Practical application > theory
2. Worksheets, peer-learning forms of assessment that test ability to learn and apply, instead of memory tests. 
3. Freedom to reason and explain choices (instead of having fixed answers) basically encouraging perspectives
4. Providing wide range of options for study
5. Freedom to choose subjects. ",
